<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<HChinese>;<TChinese>;<Japanese>;<Portuguese>;<Vietnamese>;<Ukrainian>;<Serbian>;<Korean>;<Hungarian>;<Belarusian>;<Romanian>;<Comments>
launcher_update_ready;The launcher update is ready. It will restart now.;La mise à jour du Launcher est prête. Il va redémarrer.;Il launcher di aggiornamento è pronto. Verrà riavviato ora.;Launcher-Update bereit. Anwendung startet jetzt neu.;La actualización del lanzador está lista. Se reiniciará ahora.;Обновление лончера готово, и он будет перезапущен сейчас.;Aktualizacja launchera jest gotowa. Zostanie uruchomiony ponownie.;Je připravena aktualizace launcheru. Ten se bude restartovat.;Başlatıcı güncellemesi hazır, başlatıcı yeniden başlatılacak. ;启动器更新已就绪，将会立即重启。;启动器更新已就绪，将会立即重启。;啟動器更新已就緒。它現在將重新啟動。;ランチャーアップデートの準備ができました。再起動します。;A atualização do inicializador está pronta, e vai reiniciar agora.;The launcher update is ready. It will restart now.;Оновлення лончера готове і зараз він буде перезапущений. ;Ažuriranje pokretača igre je spremno. Uslediće ponovno pokretanje;런처가 업데이트 준비를 마쳤습니다. 런처가 곧 재시작됩니다.;Az indítópult frissítése készen áll, ezért most újra fog indulni.;Абнаўленне лаўнчара гатова, зараз ён будзе перазапушчаны.;Actualizarea lansatorului este pregătită. Se va reporni acum.;
news_site;more news...;plus de nouvelles...;altre notizie...;Weitere Neuigkeiten...;más noticias...;больше...;więcej wiadomości...;další zprávy...;daha fazla haber...;更多新闻;更多新闻;更多新聞;もっとニュースを読む...;mais noticias...;Tin tức…;більше…;više vesti...;추가 뉴스...;további hírek...;больш навін...;mai multe știri...;
gamesite;WEBSITE;SITE WEB;SITO WEB;WEBSEITE;SITIO WEB;САЙТ ИГРЫ;STRONA WWW;WEB;WEB SİTE;官方网站;官方网站;官方網站;ウェブサイト;WEBSITE;TRANG WEB;САЙТ ГРИ;SAJT IGRE;웹사이트;WEBOLDAL;ВЭБ-САЙТ ГУЛЬНІ;PAGINA WEB;
signup;REGISTRATION;NOUVEAU COMPTE;REGISTRAZIONE;REGISTRIEREN;Crear cuenta nueva;РЕГИСТРАЦИЯ;Utwórz nowe konto;Vytvořit nový účet;KAYIT;注册账号;注册账号;註冊帳號;お問い合わせ;REGISTO;ĐĂNG KÝ;РЕЄСТРАЦІЯ;REGISTRACIJA;등록;REGISZTRÁCIÓ;РЭГІСТРАЦЫЯ;ÎNREGISTRARE;
eula;EULA;CLUF;CONTRATTO DI LICENZA PER L'UTENTE FINALE;EULA;CLUF;ПОЛЬЗОВАТЕЛЬСКОЕ СОГЛАШЕНИЕ;Umowa licencyjna użytkownika końcowego (EULA);EULA;EULA;最终用户许可协议;最终用户许可协议;官方宣言;エンドユーザー使用許諾契約(EULA);EULA;EULA;ПОГОДЖЕННЯ КОРИСТУВАЧА;EULA;EULA;VÉGFELHASZNÁLÓI LICENCSZERZŐDÉS;ЛІЦЭНЗІЙНАЕ ПАГАДНЕННЕ;LICENȚA;
facebook;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;FACEBOOK;페이스북;FACEBOOK;FACEBOOK;FACEBOOK;
main/news;NEWS;ACTUALITÉS;NOTIZIE;NEUIGKEITEN;NOTICIAS;НОВОСТИ;WIADOMOŚCI;ZPRÁVY;HABERLER;新闻;新闻;新聞;ニュース;NOTÍCIAS;TIN TỨC;НОВИНИ;VESTI;뉴스;HÍREK;НАВІНЫ;ȘTIRI;
collect_info_for_support;Diagnostic files;Fichiers de diagnostics;Diagnostica file;Diagnostikdateien;Archivos de diagnóstico;Файлы диагностики;Troubleshooting;Troubleshooting;Troubleshooting;Troubleshooting;排除故障 ;Troubleshooting;Troubleshooting;Troubleshooting;Troubleshooting;Troubleshooting;Troubleshooting;Troubleshooting;Troubleshooting;Troubleshooting;Troubleshooting;
collect_info_message_box;"This will collect troubleshooting information for Gaijin support.
Information includes active tasklist, dxdiag info, drivers info and ipconfig. If you do not want share part of information just remove files after they would be collected.
It can take several minutes, please be patient.

Do you want to proceed?";"Cela va assembler des informations de troubleshooting utiles pour le support Gaijin.
Les informations contenues sont la liste des taches actives, les informations dxdiag, les informations drivers et l'ipconfig. Si vous ne souhaitez pas partager l'une ou l'autre des informations, supprimez simplement le fichier après qu'il ait été généré.
Cela peut prendre plusieurs minutes, merci de votre patience.

Voulez vous continuer?";"Verranno raccolte informazioni per la risoluzione dei problemi al supporto Gaijin.
Le informazioni includono la lista dei processi attivi, dxdiag, informazioni sui driver e configurazioni ip. Se non vuoi condividere parte delle informazioni, puoi rimuovere i file dopo averli raccolti.
Puó richiedere diversi minuti, sii paziente.

Vuoi procedere?";"Mit dieser Option werden Informationen zur Fehlerbehebung für den Gaijin-Support gesammelt.
Die Informationen umfassen die Liste aktiver Tasks, Dxdiag-Informationen, Treiberinformationen und ipconfig. Wenn Sie einen Teil der Informationen nicht teilen möchten, entfernen Sie diese, nachdem sie gesammelt wurden.
Der Vorgang kann einige Minuten dauern. Bitte haben Sie etwas Geduld.

Fortfahren?";"Esto recopilará información de solución de problemas para el soporte de Gaijin.
La información incluye la lista de tareas activas, la información de dxdiag, la información de los controladores y ipconfig. Si no deseas compartir parte de la información, simplemente elimina los archivos después de que se hayan recopilado.
Puede tardar varios minutos, por favor, sé paciente.

¿Quieres proceder?";"Собирает диагностические сведения для техподдержки Gaijin.
Сведения включают список активных задач, данные dxdiag, информацию о драйверах и ipconfig. Если вы не хотите делиться частью сведений, просто удалите файлы после их сбора.
Это может занять несколько минут.

Хотите продолжить?";"Operacja ta zgromadzi informacje dotyczące rozwiązywania problemów potrzebne pracownikom wsparcia technicznego Gaijin.
Informacje te obejmują listę uruchomionych procesów, a także dane dotyczące dxdiag, sterowników oraz ipconfig. Jeśli nie chcesz udostępniać jakichś informacji, usuń pliki, które miałyby zostać zgromadzone.
Działanie to może potrwać kilka minut, zachowaj cierpliwość.

Chcesz kontynuować?";"Tato možnost shromáždí informace o řešení problému pro podporu Gaijin.
Informace zahrnují aktivní seznam úkolů, informace nástroje dxdiag, údaje o ovladačích a ipconfig. Pokud nějakou část údajů nechcete sdílet, jednoduše po shromáždění údajů odstraňte soubory s takovými informacemi.
Mějte prosím trpělivost, tato operace může trvat několik minut.

Chcete pokračovat?";"Bu, Gaijin destek için sorun giderme bilgilerini toplar.
Bu bilgilere etkin görev listesi, dxdiag bilgisi, sürücü bilgisi ve ipconfig dahildir. Bu bilgilerin bir kısmını paylaşmak istemiyorsanız, dosyalar toplandıktan sonra kaldırın.
Bu işlem birkaç dakika sürebilir, lütfen bekleyin.

Devam etmek istiyor musunuz?";"将会为Gaijin客户支持收集必要的诊断信息。
包括目前活跃的进程列表，dxdiag信息，驱动程序信息以及ipconfig信息。如果您不想上传其中的部分信息，只需要在收集完成后删除相应的文件即可。
该操作可能需要数分钟才能完成，请耐心等候。

是否继续？";"将会为Gaijin客户支持收集必要的诊断信息。
包括目前活跃的进程列表，dxdiag信息，驱动程序信息以及ipconfig信息。如果您不想上传其中的部分信息，只需要在收集完成后删除相应的文件即可。
该操作可能需要数分钟才能完成，请耐心等候。

是否继续？";"這將收集 Gaijin 支援的疑難排解資訊。
資訊包括活躍工作清單、dxdiag 資訊、驅動程式資訊和 ipconfig。如果您不想共用部分資訊，只需在檔案收集後刪除檔案。
這可能需要幾分鐘時間，請耐心等待。

是否想要繼續？";"Gaijinサポートのトラブルシューティング情報を収集します。
情報には、アクティブなタスクリスト、dxdiag情報、ドライバ情報、ipconfigが含まれます。情報の一部を共有したくない場合は、収集後にファイルを削除してください。
これには数分かかることがあるので、少々お待ちください。

先に進みますか？";"Isto irá recolher informações de resolução de problemas para o suporte da Gaijin.
As informações incluem lista de tarefas ativas, informações dxdiag, informações sobre controladores e ipconfig. Se não desejar partilhar parte das informações, basta remover os ficheiros depois de serem obtidos.
Esta operação pode demorar alguns minutos.

Pretende continuar?";"This will collect troubleshooting information for Gaijin support.
Information includes active tasklist, dxdiag info, drivers info and ipconfig. If you do not want share part of information just remove files after they would be collected.
It can take several minutes, please be patient.

Do you want to proceed?";"Це дозволить зібрати інформацію про помилку для служби підтримки Gaijin.
Інформація включає активний список завдань, дані dxdiag, дані про драйвери та ipconfig. Якщо ви не бажаєте ділитися частиною цією інформації, просто видаліть відповідні файли після того, як вони будуть зібрані.
Збір даних може тривати кілька хвилин.

Продовжити?";"Ovo će prikupiti informacije za rešavanje problema namenjene Gaijin podršci.
Te informacije obuhvataju listu aktivnih zadataka, dxdiag informacije, informacije o drajverima i IP konfiguraciju. Ako ne želite da delite neke informacije, samo uklonite datoteke pre deljenja.
Može da potraje nekoliko minuta, budite strpljivi.

Da li želite da nastavite?";"이를 통해 Gaijin 고객 지원 팀이 문제를 해결할 수 있는 정보를 수집하게 됩니다.
정보 중에는 활성 작업 목록과 dxdiag 정보, 드라이버 정보 그리고 ipconfig 정보를 수집하게 됩니다. 만약 이 정보를 공유하고 싶지 않으시다면 정보 수집이 끝난 후 공유될 예정인 파일을 삭제하시면 됩니다.
이 작업은 수 분이 소요될 수 있으니, 작업이 진행되는 동안은 잠시만 기다려 주시기 바랍니다.

계속 진행하시겠습니까?";"Hibaelhárítási információk kerülnek összegyűjtésre a Gaijin ügyfélszolgálata számára.
A gyűjtött információ tartalmazni fogja az aktív feladatlista, a dxdiag, az ipconfig és az illesztőprogramok információit. Ha nem szeretnéd megosztani az információ egy részét, csak távolítsd el ezen fájlokat a begyűjtésük után.
A művelet igénybe vehet néhány percet. Kérlek, légy türelemmel.

Tovább szeretnél lépni?";"Гэта дапаможа сабраць інфармацыю аб рашэнні праблем для службы падтрымкі Gaijin. 
Інфармацыя ўключае актыўны спіс задач, інфармацыю dxdiag, інфармацыю аб драйверах і канфігурацыю ip. Калі Вы не хочаце дзяліцца гэтай інфармацыяй, выдаліце файлы адразу пасля іх збору. 
Калі ласка, пачакайце, гэта можа заняць некалькі хвілін. 

Вы хочаце працягваць?";"Acesta va colecta informații legate de troubleshooting pentru Asistență Gaijin.
Informațiile includ lista de sarcini active, informații dxdiag, informații despre drivere și ipconfig. Dacă nu dorești să partajezi o parte din aceste informații, elimină pur și simplu fișierele după ce sunt colectate.
Această operație poate dura câteva minute, te rugăm să ai răbdare.

Vrei să continui?";
collect_info_msgbox_title;Collect Gaijin.Net support information;Assembler les informations support Gaijin.Net;Raccolta informazioni per il supporto Gaijin.Net;Informationen für den Support von Gaijin.Net sammeln;Recopilar información de soporte de Gaijin.Net;Собрать сведения для техподдержки Gaijin.Net;Zbierz informacje dla wsparcia technicznego Gaijin.net;Shromáždit informace pro podporu Gaijin.Net;Gaijin.Net destek bilgilerini topla;收集Gaijin.net支持信息;收集Gaijin.net支持信息;收集 Gaijin.Net 支援資訊;Gaijin.Netサポート情報を収集する;Recolher informações para o suporte de Gaijin.Net;Collect Gaijin.Net support information;Зібрати інформацію для служби підтримки Gaijin.Net;Prikupljaj Gaijin.Net informacije za podršku;Gaijin.Net 고객 지원을 위한 정보 수집;Gaijin.Net támogatási információk begyűjtése;Сабраць інфармацыю аб падтрымцы Gaijin.Net;Colectează informații pentru Asistență Gaijin.Net;
