"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<TChinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Korean>";"<Hungarian>";"<Belarusian>";"<Romanian>";"<Comments>"
"setting/on";"on";"Activé";"Attivato";"Ein";"on";"да";"Wł.";"zapnuto";"açık";"开";"開";"オン";"Ativado";"Bật";"увімк.";"uključen";"켜짐";"be";"ўкл.";"activ";
"youtube_url";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/c/warthunderru";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/c/warthunderru";"https://www.youtube.com/user/gaijinent";
"twitter_url";"https://twitter.com/WarThunder";"https://twitter.com/WarThunderFR";"https://twitter.com/WarThunder";"https://twitter.com/WarThunderDE";"https://twitter.com/WarThunderES";"https://twitter.com/WarThunderRU";"https://twitter.com/WarThunderPL";"https://twitter.com/WarThunderCZ";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunderJP";"https://twitter.com/WarThunderPT";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunderRU";"https://twitter.com/WarThunder";
"register_url";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/fr/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/de/play4free?r=Launcher";"https://warthunder.com/es/play4free?r=Launcher";"https://warthunder.com/ru/play4free?r=Launcher";"https://warthunder.com/pl/play4free?r=Launcher";"https://warthunder.com/cz/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/zh/play4free?r=Launcher";"https://warthunder.com/zh/play4free?r=Launcher";"https://warthunder.dmm.com/inquiry/";"https://warthunder.com/pt/play4free?r=Launcher ";"https://warthunder.com/en/play4free?r=Launcher  ";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/ko/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/ru/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher";
"register_url_steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.ru/ru/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.ru/ru/play4free?r=steam";"https://warthunder.com/play4free?r=steam";
"eula_url";"https://warthunder.com/en/support/eula/";"https://warthunder.com/fr/support/eula/";"https://warthunder.com/it/support/eula/";"https://warthunder.com/de/support/eula/";"https://warthunder.com/es/support/eula/";"https://warthunder.ru/ru/support/eula/";"https://warthunder.com/pl/support/eula/";"https://warthunder.com/cz/support/eula/";"https://warthunder.com/en/support/eula/";"https://warthunder.com/zh/support/eula/";"https://warthunder.com/zh/support/eula/";"https://warthunder.dmm.com/termsofuse/";"https://warthunder.com/pt/support/eula/";"https://warthunder.com/en/support/eula/";"https://warthunder.com/en/support/eula/";"https://warthunder.com/en/support/eula/";"https://warthunder.com/ko/support/eula/";"https://warthunder.com/en/support/eula/";"https://warthunder.ru/ru/support/eula/";"https://warthunder.com/en/support/eula/";
"game_site";"https://warthunder.com";"https://warthunder.com/fr";"https://warthunder.com";"https://warthunder.com/de";"https://warthunder.com/es";"https://warthunder.ru";"https://warthunder.com/pl";"https://warthunder.com/cz/";"https://warthunder.com";"https://warthunder.com/zh";"https://warthunder.com/zh";"https://warthunder.dmm.com/";"https://warthunder.com/pt";"https://warthunder.com";"https://warthunder.com";"https://warthunder.com";"https://warthunder.com/ko";"https://warthunder.com";"https://warthunder.ru";"https://warthunder.com";
"news_site_url";"https://warthunder.com/en/news/";"https://warthunder.com/fr/news/";"https://warthunder.com/en/news/";"https://warthunder.com/de/news/";"https://warthunder.com/es/news/";"https://warthunder.ru/ru/news/";"https://warthunder.com/pl/news/";"https://warthunder.com/cz/news/";"https://warthunder.com/en/news/";"https://warthunder.com/zh/news/";"https://warthunder.com/zh/news/";"https://warthunder.dmm.com/news/";"https://warthunder.com/pt/news/";"https://warthunder.com/en/news/";"https://warthunder.com/en/news/";"https://warthunder.com/en/news/";"https://warthunder.com/ko/news/";"https://warthunder.com/en/news/";"https://warthunder.ru/ru/news/";"https://warthunder.com/en/news/";
"eac_explain_url";"https://warthunder.com/en/news/6347-news-easyanticheat-comes-to-war-thunder-en";"https://warthunder.com/fr/news/3331-news-easyanticheat-arrive-dans-war-thunder-fr";"https://warthunder.com/en/news/6347-news-easyanticheat-comes-to-war-thunder-en";"https://warthunder.com/de/news/3972-neuigkeiten-easyanticheat-kommt-zu-war-thunder-de";"https://warthunder.com/es/news/2232-noticias-easyanticheat-llega-a-war-thunder-es";"https://warthunder.ru/ru/news/14481-v-razrabotke-easyanticheat-prihodit-v-war-thunder-ru";"https://warthunder.com/pl/news/3936-informacja-easyanticheat-w-war-thunder-pl";"https://warthunder.com/cz/news/2865-novinka-easyanticheat-p%C5%99ich%C3%A1z%C3%AD-do-war-thunderu-cz";"https://warthunder.com/en/news/6347-news-easyanticheat-comes-to-war-thunder-en";"https://warthunder.com/zh/news/49-%E6%96%B0%E9%97%BB-easyanticheat%E5%8D%B3%E5%B0%86%E5%8A%A0%E5%85%A5war-thunder-zh ";"https://warthunder.com/zh/news/49-%E6%96%B0%E9%97%BB-easyanticheat%E5%8D%B3%E5%B0%86%E5%8A%A0%E5%85%A5war-thunder-zh ";"https://warthunder.com/en/news/6347-news-easyanticheat-comes-to-war-thunder-en";"https://warthunder.com/pt/news/2131-not%C3%ADcias-easyanticheat-no-war-thunder-pt";"https://warthunder.com/en/news/6347-news-easyanticheat-comes-to-war-thunder-en";"https://warthunder.com/en/news/6347-news-easyanticheat-comes-to-war-thunder-en";"https://warthunder.com/en/news/6347-news-easyanticheat-comes-to-war-thunder-en";"https://warthunder.com/en/news/6347-news-easyanticheat-comes-to-war-thunder-en";"https://warthunder.com/en/news/6347-news-easyanticheat-comes-to-war-thunder-en";"https://warthunder.ru/ru/news/14481-v-razrabotke-easyanticheat-prihodit-v-war-thunder-ru";"https://warthunder.com/en/news/6347-news-easyanticheat-comes-to-war-thunder-en";
"settings/hd_client_title";"High quality textures of tanks and planes, aircraft cockpits, and high quality sound effects. It may increase game download and update time";"Textures de haute qualité pour les chars, les avions, les cockpits et les effets sonores. Ceci peut augmenter le temps de teléchargement et de mise à jour";"Texture per aerei e carri armati ad alta qualità, cabina degli aerei, suoni ad alta definizione. Può allungare il tempo di download e di aggiornamento del gioco";"Beinhaltet hochqualitative Texturen für Fahr- und Flugzeuge, Flugzeug-Cockpits und bessere Soundeffekte. Kann die benötigte Zeit für Download und Aktualisierung des Spiels verlängern.";"Texturas de alta calidad de tanques y aviones, cabinas de aviones y efectos de sonido de alta calidad. Puede aumentar la descarga del juego y actualizar el tiempo";"Высококачественные текстуры танков и самолётов, кабины самолётов и высококачественные звуковые эффекты. Это может увеличить время загрузки и обновления игры.";"Tekstury wysokiej jakości dla czołgów, samolotów, kokpitów oraz efekty dźwiękowe wysokiej jakości. Wydłuży to czas pobierania.";"Textury tanků a letadel ve vysoké kvalitěHigh quality textures of tanks and planes, aircraft cockpits, and high quality sound effects. It may increase game download and update time";"Yükek kalite tank ve uçak dokuları, uçak kokpitleri, yüksek kalite ses efektleri. İndirme süresi ve boyutunu artırabilir";"包含地面及空中载具的高品质纹理、飞机座舱，以及高品质音效。可能会增加游戏的下载及更新耗时";"包含地面及空中載具的高品質紋理、飛機座艙，以及高品質音效。可能會增加遊戲的下載與更新耗時";"戦車や飛行機の高品質テクスチャ、航空機のコックピット、高品質サウンドエフェクト。ゲームのダウンロードや更新時間が長くなる可能性があります";"Texturas de elevada qualidade para aeronaves e carros de combate, cockpits e efeitos de som de elevada qualidade. Isto pode aumentar o tempo e dimensão do download";"High quality textures of tanks and planes, aircraft cockpits, and high quality sound effects. It may increase game download and update time";"Високоякісні текстури танків та літаків, кабіни літаків і високоякісні звукові ефекти. Це може збільшити час завантаження і оновлення гри";"Teksture visokog kvaliteta za tenkove, avione i kabine, a takođe zvučni efekti visokog kvaliteta. Ovo može da poveća vreme skidanja i ažuriranja igre.";"탱크 및 비행기의 고품질 텍스처, 항공기 콕핏과 고품질 사운드 효과. 게임 다운로드 및 업데이트 시간이 늘어날 수 있습니다";"Kiváló minőségű harckocsi- és repülőgép-textúrák, műszerfalak és hanghatások. Megnövelheti a játék letöltési és frissítési idejét.";"Тэкстуры ў высокай разрознасці для танкаў і самалётаў, кабіны самалётаў і дадатковыя гукавыя эфекты. Гэта можа павялічыць час спампавання і абнаўлення гульні.";"Texturi de calitate înaltă a tancurilor și aeronavelor, carlinga avioanelor și efecte sunete de înaltă calitate. Se va mări durata de descărcare și actualizare a jocului.";
"settings/client";"Client";"Client";"Client";"Client";"Cliente";"Клиент";"Klient";"Klient";"Tam istemci";"完整客户端";"完整用戶端";"フルクライアント";"Cliente";"Client";"Клієнт";"Klijent";"전체 클라이언트";"Kliens";"Кліент";"Client";
"client/minimal";"Minimal";"Minimal";"Minimo";"Minimal";"Mínimo";"Минимальный";"Minimum";"Minimální";"Minimal";"简洁材质";"簡潔";"最小";"Mínimo";"Minimal";"Мінімальна";"Minimalni";"최소";"Minimális";"Мінімальная";"Minimal";
"client/uhd_ground";"Ultra HQ ground models";"Modèles terrestres ultra HQ";"Modelli terrestri Ultra HQ";"Ultra HQ Bodenmodelle";"Modelos terrestres Ultra HQ";"Ультра-качество наземных моделей";"Modele Ultra HQ pojazdów naziemnych";"Ultra HQ modely bojových vozidel";"Ultra Kalite zemin modelleri";"高清坦克模型";"高清地面載具模型";"ウルトラHQ地上モデル";"Modelos de veículos Ultra HQ";"Ultra HQ ground models";"Ultra HQ (наземні моделі)";"Ultra HQ tenkovi";"Ultra HQ (지상만)";"Ultra HQ szárazföldi modellek";"Ультравысокая (наземныя мадэлі)";"Modele de teren ultra HQ";
"client/uhd_aircraft";"Ultra HQ aircraft";"Avions ultra HQ";"Aerei Ultra HQ";"Ultra HQ Flugzeuge";"Aeronaves Ultra HQ";"Ультра-качество самолетов";"Samoloty Ultra HQ";"Ultra HQ modely letadel";"Ultra Kalite uçaklar";"高清战机模型";"高清飛機模型";"ウルトラHQ航空機";"Modelos de aviões Ultra HQ";"Ultra HQ aircraft";"Ultra HQ (літаки)";"Ultra HQ letelice";"Ultra HQ (항공기만)";"Ultra HQ repülőgép";"Ультравысокая (самалёты)";"Aeronavă ultra HQ";
"client/uhd_all";"Full Ultra HQ";"Ultra HQ complet";"Tutto Ultra HQ";"Full Ultra HQ";"Ultra HQ completo";"Ультра качество всех моделей";"Pełne Ultra HQ";"Kompletní Ultra HQ";"Tam Ultra Kalite";"完整高清材质";"全高清模型";"フルウルトラHQ";"Tudo Ultra HQ";"Full Ultra HQ";"Повна Ultra HQ";"Sve Ultra HQ";"Ultra HQ (모두 적용)";"Teljes Ultra HQ";"Цалкам ультравысокая";"Model complet ultra HQ";
"client/hd";"Full client";"Client complet";"Client completo";"Vollständiger Client";"Cliente completo";"Полный клиент";"Pełny klient";"Kompletní klient";"Tam istemci";"完整客户端";"完整用戶端";"フルクライアント";"Cliente completo";"Full client";"Повний клієнт ";"Kompletan klijent";"전체 클라이언트";"Teljes kliens";"Поўны кліент гульні";"Client complet";
;;;;;;;;;;;;;;;;;;;;;
"banner/review1";"Join our community of 70+ million players worldwide ";"Rejoignez-nous!<br>Nous avons plus de 70 millions de joueurs dans le monde";"Unisciti a noi!<br>Abbiamo più di 70+ milioni di giocatori nel mondo";"Komm mit uns!<br>Wir haben 70+ Millionen Spieler weltweit";"¡Únete a nosotros!<br>Tenemos más de 70 millones de jugadores en todo el mundo";"Присоединяйся!<br>Более 70 миллионов игроков по всему миру";"Dołącz do nas!<br>Mamy ponad 70 milionów graczy na całym świecie";"Přidejte se!<br>Hraje s námi více než 70 miliónů hráčů";"Bize katılın!<br>Dünya çapında 70 milyonu aşkın oyuncumuz var";"加入我们！<br>由世界各地超过 7000 万玩家 组成的社区";"加入我們！<br>我們全世界擁有 七千萬名以上的玩家";"参加しよう！<br>世界中7000万人超のプレイヤー";"Junte-se a nós!<br>Temos mais de 70 milhões de jogadores de todo o mundo";"Join our community of 70+ million players worldwide ";"Приєднуйся!<br>Понад 70 мільйонів гравців по всьому світу";"Pridruži se!<br>Preko 70 miliona igrača širom sveta";"지금 바로 참여하세요!<br>전 세계 7천만명 이상의 플레이어 보유";"Csatlakozz a több mint 70 millió játékoshoz világszerte";"Далучайся!<br>Больш за 70 мільёнаў гульцоў ва ўсім свеце";"Vino alături de noi!<br>Avem peste 70 de milioane de jucători în întreaga lume";
"banner/review2";"Iconic military vehicle simulation game";"Jeu emblématique de simulation de véhicules militaires";"Gioco di simulazione iconico di mezzi militari";"Ikonische Fahrzeugkampf-Simulation";"Ejercitos icónicos juego de simulación de vehículos";"Культовый симулятор военной техники";"Kultowa symulacyjna gra o pojazdach wojskowych";"Kultovní simulátor vojenské techniky";"Simgesel askeri araçlar simülasyon oyunu";"最具标志性的 战斗载具模拟游戏";"最標誌性的 載具模擬遊戲";"有名軍用機体 シミュレーションゲーム";"Jogo de simulação de veículos militares icónicos";"Iconic military vehicle simulation game";"Культовий симулятор військової техніки";"Kultni simulator vojne tehnike";"대표적 군사 장비 시뮬레이션 게임";"Ikonikus katonai jármű szimulátor";"Культавы сімулятар вайсковай тэхнікі";"Simulator iconic de vehicule militare";
"banner/review3";"Holder of two Guinness World Records";"Titulaire de deux Records du monde Guinness";"Dententore di due Guinness World Records";"Mit zwei Einträgen im Guinness Buch der Rekorde";"Titular de dos Récords Mundiales Guinness";"Обладатель двух рекордов Гиннесса";"Posiadacz dwóch Światowych Rekordów Guinnessa";"Držitel dvou rekordů v Guinessově knize rekordů";"İki Guinness Dünya Rekoru sahibi";"拥有两项 吉尼斯世界纪录";"兩項 金氏世界紀錄保持者";"2つのギネス 世界記録保持";"Detentor de dois recordes mundiais do Guinness";"Holder of two Guinness World Records";"Володар двох рекордів Гіннеса";"Vlasnik dva Ginisova rekorda";"2개 부문 기네스 세계 기록 등재";"Két Guinness rekord tulajdonosa";"Уладальнік двух рэкордаў Гінэса";"Deținător a două recorduri mondiale Guinness";
"banner/review4";"That was fun!";"C'était amusant!";"E' divertente!";"Das hat Spaß gemacht!";"¡Eso fue divertido!";"Это было весело!";"To było fajne!";"To byla sranda!";"Çok eğlenceliydi!";"太好玩了！";"這真好玩！";"楽しかった！";"Isso foi divertido!";"That was fun! ";"Це було весело!";"Bilo je zabavno!";"정말 즐거웠습니다!";"Ez jó volt!";"Гэта было весела!";"A fost distractiv!";
"banner/review5";"A game of rare beauty";"Un jeu d'une rare beauté";"Un gioco di una bellezza rara";"Ein Spiel über seltene Schönheiten";"Un juego de rara belleza";"Игра редкой красоты";"Gra o rzadko spotykanym pięknie";"Nádherně vypadající hra";"Nadir güzellikte bir oyun";"不可多得的独特体验";"獨特的遊戲內容";"まれに見る美しいゲーム";"Um jogo de beleza rara";"A game of rare beauty ";"Гра рідкісної краси!";"Igra retke lepote";"실로 아름다운 게임";"Egy ritka gyöngyszem";"Гульня рэдкай прыгажосці!";"Un joc de o frumusețe rară";
"banner/review6";"I Love This!";"J'adore ça!";"Mi piace!";"Ich liebe es!";"¡Me encanta esto!";"Я люблю это!";"Uwielbiam to!";"Miluju to!";"Bayılıyorum Buna!";"我的最爱！";"我愛死這個了！";"最高です！";"Adoro!";"I Love This!";"Я це люблю!";"Volim ovo!";"마음에 쏙 듭니다!";"Imádom!";"Я люблю гэта!";"Îmi place asta!";
